,parents,has_nurs,form,children,housing,social,health,class
0,usual,3,complete,0,0,0,recommended,2
1,usual,3,complete,0,0,0,priority,1
2,usual,3,complete,0,0,0,not_recom,0
3,usual,3,complete,0,0,2,recommended,2
4,usual,3,complete,0,0,2,priority,1
5,usual,3,complete,0,0,2,not_recom,0
6,usual,3,complete,0,0,1,recommended,1
7,usual,3,complete,0,0,1,priority,1
8,usual,3,complete,0,0,1,not_recom,0
9,usual,3,complete,0,0,0,recommended,4
10,usual,3,complete,0,0,0,priority,1
11,usual,3,complete,0,0,0,not_recom,0
12,usual,3,complete,0,0,2,recommended,4
13,usual,3,complete,0,0,2,priority,1
14,usual,3,complete,0,0,2,not_recom,0
15,usual,3,complete,0,0,1,recommended,1
16,usual,3,complete,0,0,1,priority,1
17,usual,3,complete,0,0,1,not_recom,0
18,usual,3,complete,0,2,0,recommended,4
19,usual,3,complete,0,2,0,priority,1
20,usual,3,complete,0,2,0,not_recom,0
21,usual,3,complete,0,2,2,recommended,4
22,usual,3,complete,0,2,2,priority,1
23,usual,3,complete,0,2,2,not_recom,0
24,usual,3,complete,0,2,1,recommended,1
25,usual,3,complete,0,2,1,priority,1
26,usual,3,complete,0,2,1,not_recom,0
27,usual,3,complete,0,2,0,recommended,4
28,usual,3,complete,0,2,0,priority,1
29,usual,3,complete,0,2,0,not_recom,0
30,usual,3,complete,0,2,2,recommended,4
31,usual,3,complete,0,2,2,priority,1
32,usual,3,complete,0,2,2,not_recom,0
33,usual,3,complete,0,2,1,recommended,1
34,usual,3,complete,0,2,1,priority,1
35,usual,3,complete,0,2,1,not_recom,0
36,usual,3,complete,0,1,0,recommended,4
37,usual,3,complete,0,1,0,priority,1
38,usual,3,complete,0,1,0,not_recom,0
39,usual,3,complete,0,1,2,recommended,4
40,usual,3,complete,0,1,2,priority,1
41,usual,3,complete,0,1,2,not_recom,0
42,usual,3,complete,0,1,1,recommended,1
43,usual,3,complete,0,1,1,priority,1
44,usual,3,complete,0,1,1,not_recom,0
45,usual,3,complete,0,1,0,recommended,4
46,usual,3,complete,0,1,0,priority,1
47,usual,3,complete,0,1,0,not_recom,0
48,usual,3,complete,0,1,2,recommended,4
49,usual,3,complete,0,1,2,priority,1
50,usual,3,complete,0,1,2,not_recom,0
51,usual,3,complete,0,1,1,recommended,1
52,usual,3,complete,0,1,1,priority,1
53,usual,3,complete,0,1,1,not_recom,0
54,usual,3,complete,1,0,0,recommended,4
55,usual,3,complete,1,0,0,priority,1
56,usual,3,complete,1,0,0,not_recom,0
57,usual,3,complete,1,0,2,recommended,4
58,usual,3,complete,1,0,2,priority,1
